NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    109.00 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =     98.00 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    144.00 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    139.00 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =     77.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =     89.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =     63.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   171 =  16.70% , Elapsed time =     66.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =     86.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =    38 =   3.71% , Elapsed time =   4055.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =     4 =   0.39% , Elapsed time =    664.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =     77.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =     78.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =    13 =   1.27% , Elapsed time =   1972.00 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =     86.00 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    173.00 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    171.00 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    163.00 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =     80.00 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    162.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   422 =  20.61% , Elapsed time =  44200.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   556 =  27.15% , Elapsed time =  54187.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =  1037 =  50.63% , Elapsed time =  86384.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =  1030 =  50.29% , Elapsed time =  87099.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   463 =  22.61% , Elapsed time =  47559.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =  1017 =  49.66% , Elapsed time =  86615.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   974 =  47.56% , Elapsed time =  82570.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   472 =  23.05% , Elapsed time =  48036.00 microseconds
